Id,preco
0,1458541.368775452
1,292281.15999587707
2,661380.5613042997
3,332348.6980119766
4,390934.8128264298
5,203911.65405692637
6,709393.0512207057
7,418296.81894010544
8,324017.50895030773
9,1150987.2434328955
10,651913.6059254686
11,526697.6027364933
12,1141383.847450859
13,348185.7823964831
14,899454.6873194949
15,597298.5500717065
16,376736.6669067805
17,315930.8549057284
18,356707.66145990364
19,1073342.881129468
20,910699.8207887945
21,299741.19688317145
22,292309.0555862894
23,350832.8831213154
24,342440.3294513853
25,327456.07334280375
26,503451.3906742731
27,570138.6785641699
28,919718.9201727195
29,991453.4997587883
30,321862.688056807
31,1947552.1000458573
32,1468395.540819511
33,1962334.0914838796
34,1215403.7288332433
35,351090.7197265455
36,490864.543431492
37,2429289.7761187884
38,440196.90839280904
39,407962.6148168574
40,2021986.678882875
41,960126.0326511097
42,383061.4242536892
43,1373720.049898562
44,1142460.3349781022
45,265653.40596149804
46,1819064.345511916
47,533157.6430099444
48,340639.18125674286
49,422868.5754871986
50,441685.9211805038
51,356454.5344406941
52,633668.1494484658
53,1009396.8893002867
54,944502.2268708069
55,405995.64157384064
56,574019.2033301814
57,354972.73891268607
58,961274.84900983
59,1907472.9269809308
60,2088501.0998867585
61,569395.964000467
62,1244907.0809331066
63,3376641.753258704
64,405987.4762757756
65,464993.0396815355
66,598794.34272045
67,1109699.9190559005
68,805176.5986840903
69,360903.9906843677
70,1770796.957635527
71,228951.87289396112
72,513890.1004735518
73,535973.9329252825
74,344080.7884248744
75,3019634.0383107667
76,329248.1254156984
77,348981.25529583584
78,243064.3576571467
79,413624.46362779196
80,559350.3011790225
81,420666.49635505234
82,363556.58158740983
83,1546851.9623602515
84,2577999.4334276887
85,354694.5698785099
86,379601.7917677314
87,644672.0523012967
88,503451.3906742731
89,378744.59235817904
90,557520.8331638197
91,848468.8218847816
92,229206.03085338167
93,299101.542750054
94,226941.10993011223
95,931471.7916961565
96,1027567.6170244397
97,1722781.0930469597
98,358577.1449568949
99,609350.5391191316
100,549406.4995070926
101,392134.28895645787
102,1382519.0983237415
103,801282.6342314321
104,410634.8397780638
105,893072.5422000997
106,870811.7305138068
107,943864.7854403874
108,403559.674078639
109,608312.7140035646
110,415923.930562458
111,900903.7783615876
112,395330.3153574414
113,358262.1272677583
114,686269.4831860662
115,367064.2672563736
116,566980.1311693529
117,3368087.2220761036
118,1096620.165853256
119,350394.963167898
120,1955028.1177156179
121,315340.4236749682
122,620244.632672337
123,331391.440625647
124,335720.8893784102
125,710888.0532343308
126,306827.0713346265
127,1546851.9623602515
128,318479.7932286048
129,1328213.9298944075
130,1359343.6527991237
131,2916636.758515562
132,795328.9411187568
133,1676562.2295007342
134,1318089.3769355675
135,539835.3082459127
136,453113.6305617843
137,1984970.9477713013
138,832484.2537526302
139,404583.48019346007
140,2317613.1594500584
141,416646.56482786697
142,401566.7806956756
143,1226372.6834295397
144,391468.5027166492
145,554552.9310836303
146,252816.8271883405
147,2290647.943576331
148,599941.2182412667
149,1293836.0775438845
150,488135.66629255866
151,574286.6826198582
152,888176.8820751568
153,735532.6920133498
154,416798.8296113138
155,844847.5874779169
156,491954.95048497466
157,420000.8646696551
158,645064.2994215869
159,3019634.0383107667
160,1419751.5407147883
161,490864.543431492
162,913042.4989900148
163,498885.5190702711
164,344123.1298348094
165,371775.81604459166
166,636499.7504607602
167,599507.5033761857
168,429487.3777992028
169,1192899.8058565364
170,599941.2182412667
171,429656.5670496959
172,647677.1676600844
173,679537.7835742523
174,574549.3263078387
175,2362845.886876384
176,676219.2513248003
177,379601.7917677314
178,1248032.5904637673
179,279386.6555766314
180,964755.6747942516
181,337963.5179334366
182,2134220.3906499664
183,582528.6483729476
184,725145.6364305628
185,437900.6285369974
186,501883.3157136536
187,481156.26015693636
188,1440723.6307307805
189,373105.63116095675
190,1711842.2638457236
191,1300754.4325226056
192,276472.0011663106
193,424936.61543186376
194,393126.12135445105
195,715111.7303629944
196,305621.71505972656
197,1333568.8160984316
198,289739.36539854243
199,616579.8853310526
200,1292536.4165067838
201,291663.788166651
202,642726.5247074346
203,1397231.7289660408
204,714040.5222605448
205,266274.17967397615
206,203389.2125701785
207,362082.0799732771
208,945409.785549609
209,1671384.5870362807
210,830801.7188416997
211,2860663.792622166
212,505849.9989472395
213,564378.56332233
214,1187556.245717832
215,358517.1342491018
216,319044.1654909418
217,637027.6926241914
218,532384.2999632021
